#NAME	Original_Label	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted
SFGB146	"OG_W_26, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	26	Old_Forest	Non_MPB
SFGB147	"OG_W_27, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	27	Old_Forest	Non_MPB
SFGB156	"2Post_W_03, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	3	2ndPostMPB	MPB
SFGB157	"2Post_W_04, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	4	2ndPostMPB	MPB
SFGB158	"2Post_W_05, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	5	2ndPostMPB	MPB
SFGB159	"2Post_W_09, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	9	2ndPostMPB	MPB
SFGB160	"2Post_W_17, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	17	2ndPostMPB	MPB
SFGB161	"2Post_W_18, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	18	2ndPostMPB	MPB
SFGB162	"2Post_W_25, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	25	2ndPostMPB	MPB
SFGB163	"2Post_W_26, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	26	2ndPostMPB	MPB
SFGB164	"RC_W_09, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	9	Recent_Cut	MPB
SFGB165	"RC_W_15, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	15	Recent_Cut	MPB
SFGB166	"RC_W_16, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	16	Recent_Cut	MPB
SFGB167	"RC_W_17, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	17	Recent_Cut	MPB
SFGB168	"RC_W_20, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	20	Recent_Cut	MPB
SFGB169	"RC_W_22, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	22	Recent_Cut	MPB
SFGB170	"RC_W_26, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	26	Recent_Cut	MPB
SFGB171	"RC_W_27, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	27	Recent_Cut	MPB
SFGB84	"2Pre_W_01, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	1	2ndPreMPB	Non_MPB
SFGB85	"2Pre_W_06, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	6	2ndPreMPB	Non_MPB
SFGB86	"2Pre_W_07, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	7	2ndPreMPB	Non_MPB
SFGB87	"2Pre_W_13, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	13	2ndPreMPB	Non_MPB
SFGB88	"2Pre_W_17, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	17	2ndPreMPB	Non_MPB
SFGB89	"2Pre_W_22, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	22	2ndPreMPB	Non_MPB
SFGB90	"2Pre_W_24, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	24	2ndPreMPB	Non_MPB
SFGB91	"2Pre_W_28, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	28	2ndPreMPB	Non_MPB
