#NAME	Original_Label	Corrected_ID	Original_Label_Combined	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture
SFSP168	RC_W_20	SFGB168	"RC_W_20, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	20	Recent_Cut	Salvage_Harvested	Wet
SFSP169	RC_W_22	SFGB169	"RC_W_22, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	22	Recent_Cut	Salvage_Harvested	Wet
SFSP170	RC_W_26	SFGB170	"RC_W_26, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	26	Recent_Cut	Salvage_Harvested	Wet
SFSP171	RC_W_27	SFGB171	"RC_W_27, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	27	Recent_Cut	Salvage_Harvested	Wet
SFSP84	2Pre_W_01	SFGB84	"2Pre_W_01, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	1	2ndPreMPB	Non_Salvage_Harvested	Wet
SFSP85	2Pre_W_06	SFGB85	"2Pre_W_06, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	6	2ndPreMPB	Non_Salvage_Harvested	Wet
SFSP86	2Pre_W_07	SFGB86	"2Pre_W_07, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	7	2ndPreMPB	Non_Salvage_Harvested	Wet
SFSP87	2Pre_W_13	SFGB87	"2Pre_W_13, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	13	2ndPreMPB	Non_Salvage_Harvested	Wet
SFSP88	2Pre_W_17	SFGB88	"2Pre_W_17, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	17	2ndPreMPB	Non_Salvage_Harvested	Wet
SFSP89	2Pre_W_22	SFGB89	"2Pre_W_22, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	22	2ndPreMPB	Non_Salvage_Harvested	Wet
SFSP90	2Pre_W_24	SFGB90	"2Pre_W_24, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	24	2ndPreMPB	Non_Salvage_Harvested	Wet
SFSP91	2Pre_W_28	SFGB91	"2Pre_W_28, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	28	2ndPreMPB	Non_Salvage_Harvested	Wet
