Sample	Decade	Year_Cut	Soil_Depth	MPB_Impact	Animal Parasite	Animal Pathogen	Arbuscular Mycorrhizal	Dung Saprotroph	Ectomycorrhizal	Endophyte	Epiphyte	Fungal Parasite	Lichen Parasite	Lichenized	Plant Pathogen	Plant Saprotroph	Soil Saprotroph	Undefined Saprotroph	Unknown	Wood Saprotroph
Sample9	Recent Cuts	2019	5-15cm	MPB	0	198	145	15	3665	5	0	34	0	0	194	141	0	1246	20464	0
Sample90	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	86	46	300	12881	0	0	0	0	0	81	49	0	945	11455	0
Sample91	Old Forest	Matrix Forest	OrgC	Non_MPB	0	71	0	107	3595	43	60	7	0	0	1381	210	0	1177	12751	0
Sample92	1st PreMPB_Old	1986	0-5cm	Non_MPB	0	376	0	133	15497	7	3	4	0	0	106	2263	41	780	16279	14
Sample93	Old Forest	Matrix Forest	OrgC	Non_MPB	4	235	0	43	22526	0	0	29	3	0	2128	2031	10	2882	15614	3
Sample94	Old Forest	Matrix Forest	OrgC	Non_MPB	0	17	0	3	2761	0	0	0	0	0	141	109	0	217	1334	0
Sample95	1st PreMPB_Old	1986	5-15cm	Non_MPB	0	147	2	98	17902	0	0	0	0	0	21	590	0	655	19618	0
Sample96	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	70	0	103	16034	12	24	0	0	0	322	79	0	1924	15749	0
Sample97	1st PreMPB_Old	1986	5-15cm	Non_MPB	0	51	11	186	10124	0	0	0	0	0	60	1824	0	989	14002	0
Sample98	1st PreMPB_Old	1986	OrgC	Non_MPB	62	309	0	344	1239	2491	4	375	0	0	5858	2786	1349	8392	25629	34
Sample99	1st PreMPB_Old	1986	0-5cm	Non_MPB	22	83	0	717	18240	231	0	0	0	0	326	5691	215	2528	18617	0
