Sample	Decade	Year_Cut	Soil_Depth	MPB_Impact	Animal Parasite	Animal Pathogen	Arbuscular Mycorrhizal	Dung Saprotroph	Ectomycorrhizal	Endophyte	Epiphyte	Fungal Parasite	Lichen Parasite	Lichenized	Plant Pathogen	Plant Saprotroph	Soil Saprotroph	Undefined Saprotroph	Unknown	Wood Saprotroph
Sample145	Early MPB	2008	OrgC	MPB	0	223	109	142	1122	5	0	13	0	0	773	3099	10	1872	33872	2
Sample146	Early MPB	2008	OrgC	MPB	27	403	65	170	2513	0	0	29	0	0	335	702	119	3111	10607	5
Sample147	Early MPB	2008	OrgC	MPB	119	657	3	213	3405	18	0	81	0	0	1400	910	482	2814	12008	671
Sample148	Early MPB	2009	OrgC	MPB	0	565	7	669	6370	0	2	111	2	0	526	1090	462	3163	11036	0
Sample149	Early MPB	2008	OrgC	MPB	2	1186	0	80	1401	0	0	24	21	0	409	960	212	1870	20175	20
Sample15	2nd PreMPB_NEW	1996	5-15cm	Non_MPB	0	90	2	9	7935	200	0	0	0	0	14	40	4	636	24651	0
Sample150	Early MPB	2010	OrgC	MPB	0	546	0	196	14	0	0	197	5	0	1339	1347	1694	3358	10584	683
Sample151	Early MPB	2010	OrgC	MPB	111	736	38	264	352	3	0	71	0	0	752	3000	96	7204	14869	3
Sample152	Early MPB	2010	OrgC	MPB	0	799	0	727	5282	0	0	73	0	0	2060	929	1460	12695	15887	68
Sample153	Early MPB	2009	OrgC	MPB	359	232	19	124	5880	0	14	160	0	0	1046	2151	11	2419	13749	6
Sample154	Early MPB	2009	OrgC	MPB	2	1063	0	65	11898	0	0	23	70	0	199	1388	84	488	18814	0
Sample155	Early MPB	2009	OrgC	MPB	21	251	19	51	9458	0	11	21	41	0	205	1194	1558	1881	10895	29
Sample156	Early MPB	2009	OrgC	MPB	0	1283	0	739	6531	0	2	17	0	0	1014	2144	1591	4361	11686	46
Sample157	Recent Cuts	2019/2021	OrgC	MPB	0	40	0	21	18	31	4	93	33	0	1823	354	10	2219	13143	0
Sample158	Early MPB	2009	OrgC	MPB	87	260	21	62	12421	0	20	158	0	0	808	1412	8	2767	18329	0
Sample159	Early MPB	2009	OrgC	MPB	118	1469	26	540	8	10	7	261	0	0	693	15149	20	1924	11249	99
Sample16	1st PreMPB_Old	1989	5-15cm	Non_MPB	0	16	10	75	13933	0	0	0	0	0	61	475	0	590	8047	0
Sample160	Recent Cuts	2019/2021	OrgC	MPB	0	93	3	203	11	22	41	115	39	0	2769	4569	8	2130	19701	21
Sample161	Recent Cuts	2019/2021	OrgC	MPB	0	64	0	28	2904	0	0	23	2	0	75	51	23	1068	11291	46
Sample162	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	305	0	458	5469	10	0	5	0	0	292	319	499	1646	8387	12
Sample163	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	41	0	95	16728	0	3	0	0	0	11	161	0	1667	4915	0
Sample164	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	25	0	15	15958	0	0	0	0	0	2	41	0	112	5705	0
Sample165	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	22	0	14	23568	0	0	0	2	0	18	9	0	46	1883	0
Sample166	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	0	0	417	8679	0	0	0	0	0	34	58	0	1531	16211	0
Sample167	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	91	62	317	17165	0	0	0	0	0	76	94	11	1162	9726	0
Sample168	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	65	107	181	13329	0	0	0	0	0	183	106	17	1428	10198	0
Sample169	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	143	0	675	8669	0	0	6	0	0	195	170	44	1363	9300	0
Sample17	Recent Cuts	2019	5-15cm	MPB	3	120	222	269	654	4	2	2	0	0	224	612	0	4275	18127	0
Sample170	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	3	0	579	4919	3	0	0	0	0	6	22	0	742	7934	0
Sample171	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	5	0	92	8100	0	0	4	0	0	18	16	0	1373	1328	0
Sample172	Old Forest	Matrix Forest	0-5cm	Non_MPB	3	127	33	494	2351	8	6	38	0	0	426	363	41	2054	15523	3
Sample173	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	17	0	7	4932	0	0	0	0	0	5	53	0	101	1686	0
Sample174	Old Forest	Matrix Forest	OrgC	Non_MPB	4	562	0	275	7561	2	0	45	3	0	959	1255	2126	1910	18507	4
Sample175	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	0	0	634	6709	4	0	0	0	0	9	26	0	414	7118	3
