#OTU ID	Decade	Year_Cut	Soil_Depth	MPB
Sample205	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample206	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample207	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample208	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample209	1st PreMPB_Old	1989	0-5cm	Non_MPB
Sample21	1st PreMPB_Old	1988	5-15cm	Non_MPB
Sample210	Recent Cuts	2019	0-5cm	MPB
Sample211	Recent Cuts	2019	0-5cm	MPB
Sample212	2nd PreMPB_NEW	1992	0-5cm	Non_MPB
Sample213	Recent Cuts	2018	0-5cm	MPB
Sample214	Recent Cuts	2019	0-5cm	MPB
Sample215	Recent Cuts	2019	0-5cm	MPB
Sample216	1st PreMPB_Old	1989	0-5cm	Non_MPB
Sample217	1st PreMPB_Old	1989	0-5cm	Non_MPB
Sample218	2nd PreMPB_NEW	1996	0-5cm	Non_MPB
Sample219	Recent Cuts	2018	0-5cm	MPB
Sample22	Recent Cuts	2018	OrgC	MPB
Sample220	Recent Cuts	2019	0-5cm	MPB
Sample221	Recent Cuts	2018	0-5cm	MPB
Sample222	2nd PreMPB_NEW	1996	0-5cm	Non_MPB
Sample223	Recent Cuts	2019	0-5cm	MPB
Sample224	1st PreMPB_Old	1988	0-5cm	Non_MPB
Sample225	2nd PreMPB_NEW	1992	0-5cm	Non_MPB
Sample226	1st PreMPB_Old	1988	0-5cm	Non_MPB
Sample227	1st PreMPB_Old	1988	0-5cm	Non_MPB
Sample228	2nd PreMPB_NEW	1992	0-5cm	Non_MPB
Sample229	2nd PreMPB_NEW	1996	0-5cm	Non_MPB
Sample23	2nd PreMPB_NEW	1992	OrgC	Non_MPB
Sample24	Recent Cuts	2019	OrgC	MPB
Sample25	Recent Cuts	2019	OrgC	MPB
Sample26	Recent Cuts	2019	OrgC	MPB
Sample27	Recent Cuts	2018	OrgC	MPB
Sample28	2nd PreMPB_NEW	1996	OrgC	Non_MPB
Sample29	1st PreMPB_Old	1988	OrgC	Non_MPB
Sample3	Recent Cuts	2018	5-15cm	MPB
Sample30	1st PreMPB_Old	1989	OrgC	Non_MPB
Sample31	2nd PreMPB_NEW	1996	OrgC	Non_MPB
Sample32	1st PreMPB_Old	1989	OrgC	Non_MPB
Sample33	Recent Cuts	2018	OrgC	MPB
Sample34	Recent Cuts	2019	OrgC	MPB
Sample35	1st PreMPB_Old	1988	OrgC	Non_MPB
Sample36	Recent Cuts	2019	OrgC	MPB
Sample37	2nd PreMPB_NEW	1996	OrgC	Non_MPB
Sample38	2nd PreMPB_NEW	1992	OrgC	Non_MPB
Sample39	Recent Cuts	2018	OrgC	MPB
Sample4	2nd PreMPB_NEW	1996	5-15cm	Non_MPB
Sample40	Recent Cuts	2019	OrgC	MPB
Sample41	1st PreMPB_Old	1988	OrgC	Non_MPB
Sample42	Recent Cuts	2019	OrgC	MPB
Sample43	1st PreMPB_Old	1989	OrgC	Non_MPB
Sample44	2nd PreMPB_NEW	1992	OrgC	Non_MPB
Sample45	Late MPB	2013	OrgC	MPB
Sample46	Late MPB	2014	OrgC	MPB
Sample47	Late MPB	2013	OrgC	MPB
Sample48	Late MPB	2013	OrgC	MPB
Sample49	Late MPB	2012	OrgC	MPB
Sample5	1st PreMPB_Old	1989	5-15cm	Non_MPB
Sample50	Late MPB	2014	OrgC	MPB
Sample51	Late MPB	2014	OrgC	MPB
Sample52	Late MPB	2014	OrgC	MPB
Sample53	Late MPB	2012	OrgC	MPB
Sample54	Late MPB	2012	OrgC	MPB
Sample55	Late MPB	2014	OrgC	MPB
Sample56	Late MPB	2013	OrgC	MPB
Sample57	Late MPB	2013	OrgC	MPB
Sample58	Late MPB	2013	OrgC	MPB
Sample59	Recent Cuts	2019	OrgC	MPB
Sample6	Recent Cuts	2018	5-15cm	MPB
Sample60	Late MPB	2014	OrgC	MPB
Sample61	Recent Cuts	2019	OrgC	MPB
Sample62	Recent Cuts	2019	OrgC	MPB
Sample63	Recent Cuts	2019	OrgC	MPB
Sample64	Late MPB	2014	5-15cm	MPB
Sample65	Recent Cuts	2019	5-15cm	MPB
Sample66	Recent Cuts	2019	5-15cm	MPB
Sample67	Early MPB	2009	5-15cm	MPB
Sample69	Late MPB	2014	5-15cm	MPB
Sample7	1st PreMPB_Old	1989	5-15cm	Non_MPB
Sample70	Late MPB	2014	5-15cm	MPB
Sample71	Late MPB	2014	5-15cm	MPB
Sample72	Late MPB	2012	5-15cm	MPB
Sample73	Late MPB	2013	5-15cm	MPB
Sample74	Late MPB	2013	5-15cm	MPB
Sample75	Late MPB	2013	5-15cm	MPB
Sample76	Recent Cuts	2019	5-15cm	MPB
Sample77	Early MPB	2008	5-15cm	MPB
Sample78	Early MPB	2008	5-15cm	MPB
Sample79	Early MPB	2008	5-15cm	MPB
Sample8	Recent Cuts	2019	5-15cm	MPB
Sample80	Early MPB	2008	5-15cm	MPB
Sample81	Early MPB	2008	5-15cm	MPB
Sample82	Early MPB	2008	5-15cm	MPB
Sample83	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample84	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample85	Old Forest	Matrix Forest	NA	Non_MPB
Sample86	Old Forest	Matrix Forest	NA	Non_MPB
Sample87	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample88	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample89	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample9	Recent Cuts	2019	5-15cm	MPB
Sample90	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample91	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample92	1st PreMPB_Old	1986	0-5cm	Non_MPB
Sample93	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample94	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample95	1st PreMPB_Old	1986	5-15cm	Non_MPB
Sample96	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample97	1st PreMPB_Old	1986	5-15cm	Non_MPB
Sample98	1st PreMPB_Old	1986	OrgC	Non_MPB
Sample99	1st PreMPB_Old	1986	0-5cm	Non_MPB
