Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Animal Parasite	Animal Pathogen	Arbuscular Mycorrhizal	Dung Saprotroph	Ectomycorrhizal	Endophyte	Epiphyte	Fungal Parasite	Lichen Parasite	Plant Pathogen	Plant Saprotroph	Soil Saprotroph	Undefined Saprotroph	Unknown	Wood Saprotroph
SFSP168	Rhizosphere	Tree	Day_of_Harvest	20	Recent_Cut	MPB	Wet	0	248	0	843	3448	0	0	32	0	425	745	333	6362	49530	0
SFSP169	Rhizosphere	Tree	Day_of_Harvest	22	Recent_Cut	MPB	Wet	0	125	0	477	185	0	0	307	0	141	24713	263	6813	31981	0
SFSP170	Rhizosphere	Tree	Day_of_Harvest	26	Recent_Cut	MPB	Wet	0	116	0	299	4282	0	0	321	0	241	11055	83	2587	30958	0
SFSP171	Rhizosphere	Tree	Day_of_Harvest	27	Recent_Cut	MPB	Wet	0	115	0	470	5214	0	0	64	0	141	1143	115	2348	25264	0
SFSP84	Rhizosphere	Tree	Day_of_Harvest	1	2ndPreMPB	Non_MPB	Wet	0	230	4	542	350	0	0	23	0	1504	2663	203	2953	43760	0
SFSP85	Rhizosphere	Tree	Day_of_Harvest	6	2ndPreMPB	Non_MPB	Wet	0	173	5	270	783	0	0	46	0	9777	1576	130	3326	31004	0
SFSP86	Rhizosphere	Tree	Day_of_Harvest	7	2ndPreMPB	Non_MPB	Wet	0	241	0	1250	3540	0	0	221	0	627	2703	88	5558	36576	0
SFSP87	Rhizosphere	Tree	Day_of_Harvest	13	2ndPreMPB	Non_MPB	Wet	0	626	2	1304	436	0	0	29	0	10124	2391	284	6939	45706	0
SFSP88	Rhizosphere	Tree	Day_of_Harvest	17	2ndPreMPB	Non_MPB	Wet	0	264	5	502	3787	0	0	56	0	3815	3179	145	5577	71974	0
SFSP89	Rhizosphere	Tree	Day_of_Harvest	22	2ndPreMPB	Non_MPB	Wet	0	87	0	426	226	0	0	114	0	331	1378	110	2810	40757	0
SFSP90	Rhizosphere	Tree	Day_of_Harvest	24	2ndPreMPB	Non_MPB	Wet	0	348	0	1436	1339	0	0	29	0	5144	1718	106	2754	30539	0
SFSP91	Rhizosphere	Tree	Day_of_Harvest	28	2ndPreMPB	Non_MPB	Wet	0	201	5	533	1927	0	0	21	0	631	1396	96	2978	30020	0
