#TAXONOMY	Kingdom	Phyla	Class	Order	Family	Genus	Species
2171aea19eff742044b7677de7239188	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia_fragilis
c34eaba1eeb4563ed1ccb966ebffe2f6	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Unknown
115e41f5ea27cf41f729288322986bad	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unknown	Unknown	Unknown
4a5a5825b02ce804a5dc20e673969418	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
430e9f10c8dc588eac1563fd587f04bc	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Unknown
b36019ff8a6da31271b38086fdacc395	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_desertorum
42eefc33486d23ae8d6c1249ed2de094	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_aeria
4e8710fbed150246016d4afa50d76827	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unknown	Unknown
24f2eccf9904199660be0c6504489e33	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
b2d1d6acc6955729872471d23186c618	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Unknown
614df5c642cddc64f06ee7d895a72cf7	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
61f2d96b7544e8393c0733fa5b5b0d4b	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pseudodidymellaceae	Mycodidymella	Mycodidymella_aesculi
29097bf2e903e90e28a5546bfd585b91	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Unknown
ab3ca8057abfe7a2af730cf47c76f9ba	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unknown	Unknown	Unknown
c98d19bf97a6f52e395c90cb55a84217	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
c790aadbbac29c956d54a9c25cb53f8c	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
ea3effbb157aea676d8869e1ddbba173	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	Leohumicola_atra
379f2d733b04ea396bbf9bd9cfd71847	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscyphaceae_gen_Incertae_sedis	Hyaloscyphaceae_sp
28799bdf211ed10ae801b717a81536e9	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
face9da8a1289242162a2ab08f3ae84e	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
3958c940e5ede55ba8a97e778056a442	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
b46309043ac5c1ce6f41983d8b59c556	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_desertorum
30721fa9394bb426a0044eb4dafb5821	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
aca906dccb8430cdd1de5f418d891fe5	Fungi	Ascomycota	Leotiomycetes	Unknown	Unknown	Unknown	Unknown
3cddf06f6466ee9f6507532c2d744d1e	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
43b70f06f4d7c8b13632655c168fec5e	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_recta
be398204a9783969bfc387070fecc896	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_aeria
e342f0013ebe9ea0445d1dc76061a7fa	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia	Mrakia_niccombsii
eb57d569cb578eb6b519b170d45de1ce	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon_sp
ec93e86dd501b5aa36299eb9e0febe4b	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
3352faeff53a241d42d82d5dcceea244	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
647b21ae1ad0ff4e2706016846a030e6	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unknown	Unknown
