Feature ID	Taxon	Phyla	Class	Order	Family	Genus	Species	Sequence_Hierarchy	Guild	Trophic_Mode
7c0525a7efa81b5e4c07a54400a70233	Fungi	Ascomycota								Unknown
f5871c96d0752ff0e9b018116845a6d4	Fungi	Basidiomycota	Tremellomycetes							Unknown
b2fb72e35c5cb87f604c58ee2ba9ab8f	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae				Unknown	Multiple
4ee04bc0531f1fca34fb549a7ba6913a	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma			Ectomycorrhizal	Multiple
1392f332a9f28e15a57ec6e8db218865	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alliacea	SH2095953.09FU	Undefined Saprotroph	Multiple
10a237c5a434ea19585aa42b72d71dc1	Fungi	Basidiomycota	Agaricomycetes							Unknown
fb4ead0b31db1706c103d558f7c10578	Fungi	Basidiomycota								Unknown
4dbb56a54c62e9b351e706a5a74c1717	Fungi	Ascomycota								Unknown
46a5a609d99e588313679ed038eeba50	Fungi	Ascomycota								Unknown
5a2b90ab18e75666847f62fb308903e6	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia_fragilis	SH1464228.09FU	Undefined Saprotroph	Saprotroph
641b960ab365e54ee80a3da70c670a69	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Neofabraea	Neofabraea_salicina	SH1539700.09FU	Plant Pathogen	Multiple
7526c8c7c362ddf09f3f299229fd0917	Fungi	Basidiomycota	Agaricomycetes							Unknown
c7d1875482eecf61654b9101eb9a68df	Fungi	Ascomycota								Unknown
35ca7de8dd436e41432026afcb1d6e8a	Fungi	Ascomycota								Unknown
9a23eb7c460e907a460578e6e5c41bf9	Fungi									Unknown
7a727690142c54acbfb14227200d8127	Fungi	Ascomycota								Unknown
96a0599e3c3daffc7d8b7a92c163ca23	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma	Piloderma_sp	SH1455779.09FU	Ectomycorrhizal	Symbiotroph
ace8516bd6c26c7ebd6025d6e19511ec	Fungi	Basidiomycota								Unknown
41dcff73a7085974eec761fb9542e2a8	Fungi	Ascomycota	Leotiomycetes	Helotiales						Unknown
46e5dd1c53f604f6211f811024aa2b8b	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium			Undefined Saprotroph	Saprotroph
cdf0865a1daaf1a2c2942c4725a8d3ca	Fungi	Basidiomycota								Unknown
8f3a7376dd4ad7ba07076ef32d53848e	Fungi	Ascomycota								Unknown
b09c40e6e787be1f0c9657145a8ec1f5	Fungi									Unknown
62fe55a901217dc0020dcc734d2c8914	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia	Mrakia_niccombsii	SH1684090.09FU	Undefined Saprotroph	Saprotroph
ea103637c946f9854cef9353ea15397f	Fungi	Ascomycota								Unknown
8b998208516694b6b9b66bf7dd442c34	Fungi									Unknown
ef4419a353d66144cf765600a31de62d	Fungi	Basidiomycota	Tremellomycetes							Unknown
ea39a7800cb32c42a3fa5bab1355b264	Fungi	Ascomycota	Leotiomycetes	Helotiales						Unknown
608f4b20b36863c80ae26681541150f6	Fungi									Unknown
83562b920d7cee71313e208bca9d156a	Fungi									Unknown
3ac1f00243fbac4237aa49024cba4e22	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_camargensis	SH1366784.09FU		Multiple
969f8dd99ae722b90d68fac3c4a5c08b	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina_rehmii	SH1347045.09FU	Ectomycorrhizal	Symbiotroph
669aa959038ec64d6942478f5408d59b	Fungi	Basidiomycota								Unknown
0cb3a817b86adeeb1e21a5e1de79ad0c	Fungi	Ascomycota	Dothideomycetes	Pleosporales						Unknown
904bffc5e62784cbef5c16642527137c	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_desertorum	SH1478243.09FU	Dung Saprotroph	Saprotroph
7257168a3ded46f83cd130a0bbbd4472	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma			Ectomycorrhizal	Multiple
45491491fa4cb9e601036d0f50609ca2	Fungi									Unknown
ca8e1ff06def1c5461fdcfc462031ef9	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius			Ectomycorrhizal	Symbiotroph
5a7c61a018916f34ef8246d0bcb2103c	Fungi									Unknown
97a150263c0ed8d85d99a56859e207ff	Fungi	Ascomycota								Unknown
e226bb0864ecb3b9984189046034e8c8	Fungi									Unknown
c63f06ad9319dae207a8387ed75938ab	Fungi									Unknown
6da00dc95182b66d04b3fad66a9c5827	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula	Montagnula_chromolaenae	SH2102054.09FU	Wood Saprotroph	Saprotroph
74649bf9e4fd9946a0c74a59a08588b6	Fungi	Ascomycota								Unknown
17c24542a79f4a670c998a87c30b29fa	Fungi	Ascomycota								Unknown
790c93f240d3be7b354d9f5bb482c2a8	Fungi									Unknown
681418719c9fd82dd696a720795c12b1	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis			Arbuscular Mycorrhizal	Symbiotroph
c001c2164153c3c6f5a2b601348c885a	Fungi	Ascomycota								Unknown
479411a0fdd6d817c5748ce46eb0743a	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_psychrotolerans	SH1549520.09FU	Undefined Saprotroph	Saprotroph
d53fe961cf399216ebd2af170871dba1	Fungi									Unknown
fa1d6bd3a7ef95f122d0919a2431fe49	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae					Multiple
88322e97e820b189c248817fa913ccb2	Fungi									Unknown
00e851d4f17c0feca2d38a83c8f51d05	Fungi	Ascomycota								Unknown
7630cff52d2dd8eed6a7c62965ee6308	Fungi									Unknown
