#OTU ID	Decade	Year_Cut	Soil_Depth	Salvage_Harvest_Status
Sample188	Early MPB	2009	0-5cm	Salvage_Harvested
Sample189	Early MPB	2008	0-5cm	Salvage_Harvested
Sample19	2nd PreMPB_NEW	1992	5-15cm	Non_Salvage_Harvested
Sample190	Early MPB	2008	0-5cm	Salvage_Harvested
Sample191	Early MPB	2009	0-5cm	Salvage_Harvested
Sample192	Early MPB	2009	0-5cm	Salvage_Harvested
Sample193	Early MPB	2008	0-5cm	Salvage_Harvested
Sample194	Early MPB	2008	0-5cm	Salvage_Harvested
Sample195	1st PreMPB_Old	1986	5-15cm	Non_Salvage_Harvested
Sample196	Old Forest	Matrix Forest	5-15cm	Non_Salvage_Harvested
Sample197	1st PreMPB_Old	1986	0-5cm	Non_Salvage_Harvested
Sample198	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample199	1st PreMPB_Old	1986	OrgC	Non_Salvage_Harvested
Sample2	Recent Cuts	2019	5-15cm	Salvage_Harvested
Sample20	Recent Cuts	2019	5-15cm	Salvage_Harvested
Sample200	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample201	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample202	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample203	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample204	Old Forest	Matrix Forest	5-15cm	Non_Salvage_Harvested
Sample205	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample206	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample207	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample208	Old Forest	Matrix Forest	0-5cm	Non_Salvage_Harvested
Sample209	1st PreMPB_Old	1989	0-5cm	Non_Salvage_Harvested
Sample21	1st PreMPB_Old	1988	5-15cm	Non_Salvage_Harvested
Sample210	Recent Cuts	2019	0-5cm	Salvage_Harvested
Sample211	Recent Cuts	2019	0-5cm	Salvage_Harvested
Sample212	2nd PreMPB_NEW	1992	0-5cm	Non_Salvage_Harvested
Sample213	Recent Cuts	2018	0-5cm	Salvage_Harvested
Sample214	Recent Cuts	2019	0-5cm	Salvage_Harvested
Sample215	Recent Cuts	2019	0-5cm	Salvage_Harvested
Sample216	1st PreMPB_Old	1989	0-5cm	Non_Salvage_Harvested
Sample217	1st PreMPB_Old	1989	0-5cm	Non_Salvage_Harvested
Sample218	2nd PreMPB_NEW	1996	0-5cm	Non_Salvage_Harvested
Sample219	Recent Cuts	2018	0-5cm	Salvage_Harvested
Sample22	Recent Cuts	2018	OrgC	Salvage_Harvested
Sample220	Recent Cuts	2019	0-5cm	Salvage_Harvested
Sample221	Recent Cuts	2018	0-5cm	Salvage_Harvested
Sample222	2nd PreMPB_NEW	1996	0-5cm	Non_Salvage_Harvested
Sample223	Recent Cuts	2019	0-5cm	Salvage_Harvested
Sample224	1st PreMPB_Old	1988	0-5cm	Non_Salvage_Harvested
Sample225	2nd PreMPB_NEW	1992	0-5cm	Non_Salvage_Harvested
Sample226	1st PreMPB_Old	1988	0-5cm	Non_Salvage_Harvested
Sample227	1st PreMPB_Old	1988	0-5cm	Non_Salvage_Harvested
Sample228	2nd PreMPB_NEW	1992	0-5cm	Non_Salvage_Harvested
Sample229	2nd PreMPB_NEW	1996	0-5cm	Non_Salvage_Harvested
Sample23	2nd PreMPB_NEW	1992	OrgC	Non_Salvage_Harvested
Sample24	Recent Cuts	2019	OrgC	Salvage_Harvested
Sample25	Recent Cuts	2019	OrgC	Salvage_Harvested
