accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR37734442	SRP685577	new	PRJNA1440534	SAMN56660674	Greenhouse_16S_SFGB171	SFGB171_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB171_119_L001_R1_001.fastq.gz	SFGB171_119_L001_R2_001.fastq.gz				
SRR37734440	SRP685577	new	PRJNA1440534	SAMN56660675	Greenhouse_16S_SFGB84	SFGB84_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB84_122_L001_R1_001.fastq.gz	SFGB84_122_L001_R2_001.fastq.gz				
SRR37734439	SRP685577	new	PRJNA1440534	SAMN56660676	Greenhouse_16S_SFGB85	SFGB85_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB85_22_L001_R1_001.fastq.gz	SFGB85_22_L001_R2_001.fastq.gz				
SRR37734438	SRP685577	new	PRJNA1440534	SAMN56660677	Greenhouse_16S_SFGB86	SFGB86_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB86_121_L001_R1_001.fastq.gz	SFGB86_121_L001_R2_001.fastq.gz				
SRR37734437	SRP685577	new	PRJNA1440534	SAMN56660678	Greenhouse_16S_SFGB87	SFGB87_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB87_104_L001_R1_001.fastq.gz	SFGB87_104_L001_R2_001.fastq.gz				
SRR37734436	SRP685577	new	PRJNA1440534	SAMN56660679	Greenhouse_16S_SFGB88	SFGB88_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB88_96_L001_R1_001.fastq.gz	SFGB88_96_L001_R2_001.fastq.gz				
SRR37734435	SRP685577	new	PRJNA1440534	SAMN56660680	Greenhouse_16S_SFGB89	SFGB89_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB89_89_L001_R1_001.fastq.gz	SFGB89_89_L001_R2_001.fastq.gz				
SRR37734434	SRP685577	new	PRJNA1440534	SAMN56660681	Greenhouse_16S_SFGB90	SFGB90_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB90_110_L001_R1_001.fastq.gz	SFGB90_110_L001_R2_001.fastq.gz				
SRR37734433	SRP685577	new	PRJNA1440534	SAMN56660682	Greenhouse_16S_SFGB91	SFGB91_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB91_153_L001_R1_001.fastq.gz	SFGB91_153_L001_R2_001.fastq.gz				
SRR37734432	SRP685577	new	PRJNA1440534	SAMN56660683	Greenhouse_16S_SFGBB1	SFGBB1_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB1_180_L001_R1_001.fastq.gz	SFGBB1_180_L001_R2_001.fastq.gz				
SRR37734431	SRP685577	new	PRJNA1440534	SAMN56660684	Greenhouse_16S_SFGBB2	SFGBB2_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB2_160_L001_R1_001.fastq.gz	SFGBB2_160_L001_R2_001.fastq.gz				
SRR37734429	SRP685577	new	PRJNA1440534	SAMN56660685	Greenhouse_16S_SFGBB3	SFGBB3_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB3_184_L001_R1_001.fastq.gz	SFGBB3_184_L001_R2_001.fastq.gz				
SRR37734428	SRP685577	new	PRJNA1440534	SAMN56660686	Greenhouse_16S_SFGBB4	SFGBB4_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB4_182_L001_R1_001.fastq.gz	SFGBB4_182_L001_R2_001.fastq.gz				
SRR37734427	SRP685577	new	PRJNA1440534	SAMN56660687	Greenhouse_16S_SFGBB5	SFGBB5_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB5_176_L001_R1_001.fastq.gz	SFGBB5_176_L001_R2_001.fastq.gz				
SRR37734426	SRP685577	new	PRJNA1440534	SAMN56660688	Greenhouse_16S_SFGBB6	SFGBB6_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB6_183_L001_R1_001.fastq.gz	SFGBB6_183_L001_R2_001.fastq.gz				
SRR37734425	SRP685577	new	PRJNA1440534	SAMN56660689	Greenhouse_16S_SFGBB7	SFGBB7_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB7_175_L001_R1_001.fastq.gz	SFGBB7_175_L001_R2_001.fastq.gz				
SRR37734424	SRP685577	new	PRJNA1440534	SAMN56660690	Greenhouse_16S_SFGBB8	SFGBB8_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB8_161_L001_R1_001.fastq.gz	SFGBB8_161_L001_R2_001.fastq.gz				
SRR37734423	SRP685577	new	PRJNA1440534	SAMN56660691	Greenhouse_16S_SFGBB9	SFGBB9_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB9_179_L001_R1_001.fastq.gz	SFGBB9_179_L001_R2_001.fastq.gz				
SRR37734422	SRP685577	new	PRJNA1440534	SAMN56660692	Greenhouse_16S_SFGBB10	SFGBB10_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB10_181_L001_R1_001.fastq.gz	SFGBB10_181_L001_R2_001.fastq.gz				
SRR37734421	SRP685577	new	PRJNA1440534	SAMN56660693	Greenhouse_16S_SFGBB11	SFGBB11_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGBB11_177_L001_R1_001.fastq.gz	SFGBB11_177_L001_R2_001.fastq.gz				
