SampleID	Treatment	Moisture	Salvage_Harvest_Status	Height	MeanCanWidth	RootDryMass	Aboveground_Biomass	RoottoShootRatio
1Pre_W_28	1st_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
1Pre_W_29	1st_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
1Pre_W_30	1st_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
1Pre_W_31	1st_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_1	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	5.1	4.35	0.5199	0.1041	4.994236311
2Pre_W_2	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	0.1916	NA
2Pre_W_3	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_4	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_5	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_6	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	5.2	4.35	0.2123	0.0975	2.177435897
2Pre_W_7	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	5.2	5	0.284380932	0.1604	1.772948451
2Pre_W_8	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_9	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_10	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_11	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	3.2	2.6	0.0946	0.057	1.659649123
2Pre_W_12	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_13	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	4.9	5.2	0.4996	0.2155	2.318329466
2Pre_W_14	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_15	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_16	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
