Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Amanita_pseudopantherina	Calonarius_caesiocinctus	Chroogomphus_pakistanicus	Cortinarius_albidipes	Cortinarius_alboadustus	Cortinarius_brunneoaffinis	Cortinarius_cepistipes	Cortinarius_clarisordidus	Cortinarius_collangustus	Cortinarius_deceptivissimus	Cortinarius_decipiens	Cortinarius_kauffmanianus	Cortinarius_majorinus	Cortinarius_miwok	Cortinarius_mucosus	Cortinarius_parvannulatus	Cortinarius_paululus	Cortinarius_subcarneinatus	Cortinarius_turgidipes	Hebeloma_erebium	Hebeloma_pungens	Hydnum_pallidomarginatum	Hydnum_subolympicum	Hygrophorus_fuscoalboides	Inocybe_purpureobadia	Inocybe_silvae-herbaceae	Laccaria_fagacicola	Lactarius_aurantiacopallens	Lactarius_miniatosporus	Mallocybe_sp	Phlegmacium_subfoetens	Piloderma_bicolor	Piloderma_lanatum	Piloderma_sp	Polyozellus_mariae	Pseudosperma_emberizanum	Rhizopogon_ellenae	Rhizopogon_sp	Russula_cremicolor	Russula_indocatillus	Russula_pseudotsugarum	Sarcodon_lidongensis	Suillus_luteus	Thaxterogaster_argyrionus	Thaxterogaster_rhipiduranus	Thelephora_atra	Thelephora_caryophyllea	Thelephora_sp	Tomentella_lammiensis	Tomentella_sp	Tomentellopsis_echinospora	Tomentellopsis_sp	Tricholoma_badicephalum	Tricholoma_bonii	Tricholoma_olivaceum	Tricholoma_populinum	Unknown	Wilcoxina_rehmii
SFSP114	Rhizosphere	Tree	Day_of_Harvest	23	1stPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5561	0	0	0	0	0	0	0	0	8	17
SFSP115	Rhizosphere	Tree	Day_of_Harvest	25	1stPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	4	0	0	0	2	0	0	5	49
SFSP140	Rhizosphere	Tree	Day_of_Harvest	4	Old_Forest	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	27	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	58	165
SFSP141	Rhizosphere	Tree	Day_of_Harvest	5	Old_Forest	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	41	0	0	0	0	6	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	2	0	31	9
SFSP142	Rhizosphere	Tree	Day_of_Harvest	6	Old_Forest	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	29	14
SFSP143	Rhizosphere	Tree	Day_of_Harvest	7	Old_Forest	Non_MPB	Wet	0	2	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	15	38	0	7	0	3	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	9	0	46	7
SFSP144	Rhizosphere	Tree	Day_of_Harvest	13	Old_Forest	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	5	0	0	0	0	0	0	0	0	46	0	4	0	0	0	0	6	0	83	738
SFSP145	Rhizosphere	Tree	Day_of_Harvest	22	Old_Forest	Non_MPB	Wet	0	12	0	0	0	0	0	0	0	0	0	0	0	57	2	0	0	0	0	0	0	0	3	0	0	12	0	0	0	0	0	19	40	11	8	0	0	11	0	0	0	0	0	0	0	0	0	65	0	3	0	0	0	0	10	0	57	32
SFSP146	Rhizosphere	Tree	Day_of_Harvest	26	Old_Forest	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	28	13	0	0	0	2	0	0	170	0	3	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	29	2270
SFSP147	Rhizosphere	Tree	Day_of_Harvest	27	Old_Forest	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	17	81	0	0	0	0	17	0	0	0	0	0	0	0	0	4	84	0	19	0	0	0	0	0	0	51	644
SFSP156	Rhizosphere	Tree	Day_of_Harvest	3	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	5	0	0	0	0	0	0	6	0	0	0	0	19	0	40	0	2	0	0	0	0	0	71	0	0	0	0	0	0	0	0	59	585
SFSP157	Rhizosphere	Tree	Day_of_Harvest	4	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	26	53	0	0	0	0	0	0	9	0	0	0	0	110	0	95	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	119	1311
SFSP158	Rhizosphere	Tree	Day_of_Harvest	5	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	113
SFSP159	Rhizosphere	Tree	Day_of_Harvest	9	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	19	0	0	0	0	0	0	10	0	0	0	0	0	0	14	0	0	0	0	0	0	0	53	0	0	0	0	2	0	0	0	36	20
SFSP160	Rhizosphere	Tree	Day_of_Harvest	17	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	7	0	0	0	0	4	0	31	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	20	246
SFSP161	Rhizosphere	Tree	Day_of_Harvest	18	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	40	79	0	0	0	0	0	0	23	0	0	0	0	19	0	361	0	2	0	0	0	4	0	77	0	0	0	0	0	0	0	0	231	2467
