Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Amanita	Calonarius	Chroogomphus	Cortinarius	Hebeloma	Hydnum	Hygrophorus	Inocybe	Laccaria	Lactarius	Mallocybe	Phlegmacium	Piloderma	Polyozellus	Pseudosperma	Rhizopogon	Russula	Sarcodon	Suillus	Thaxterogaster	Thelephora	Tomentella	Tomentellopsis	Tricholoma	Wilcoxina
SFSP156	Rhizosphere	Tree	Day_of_Harvest	3	2ndPostMPB	MPB	Wet	0	0	0	13	0	9	0	67	0	3	0	0	6	0	0	19	40	2	0	0	71	0	0	3	585
SFSP157	Rhizosphere	Tree	Day_of_Harvest	4	2ndPostMPB	MPB	Wet	0	0	0	32	2	18	0	142	0	20	0	0	9	0	0	110	95	0	0	0	49	0	0	0	1311
SFSP158	Rhizosphere	Tree	Day_of_Harvest	5	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	102	0	0	0	113
SFSP159	Rhizosphere	Tree	Day_of_Harvest	9	2ndPostMPB	MPB	Wet	0	0	0	0	0	13	0	70	0	6	0	0	10	0	0	0	14	0	0	0	53	0	0	2	20
SFSP160	Rhizosphere	Tree	Day_of_Harvest	17	2ndPostMPB	MPB	Wet	0	0	0	10	0	5	0	17	0	7	0	0	7	0	0	4	31	0	0	0	63	0	0	0	246
SFSP161	Rhizosphere	Tree	Day_of_Harvest	18	2ndPostMPB	MPB	Wet	0	0	0	75	0	11	0	187	0	100	0	0	23	0	0	19	363	2	0	0	81	0	0	0	2467
SFSP162	Rhizosphere	Tree	Day_of_Harvest	25	2ndPostMPB	MPB	Wet	0	0	0	8	0	15	0	109	0	19	0	0	38	0	0	0	114	0	0	0	30	0	0	0	1327
SFSP163	Rhizosphere	Tree	Day_of_Harvest	26	2ndPostMPB	MPB	Wet	0	0	0	16	2	20	0	141	0	33	0	0	30	0	0	16	302	0	0	0	14	0	0	0	797
SFSP164	Rhizosphere	Tree	Day_of_Harvest	9	Recent_Cut	MPB	Wet	0	0	0	0	0	26	0	12	0	0	0	8	38	0	0	2	0	0	0	0	2514	0	0	6	19
SFSP165	Rhizosphere	Tree	Day_of_Harvest	15	Recent_Cut	MPB	Wet	0	0	0	0	0	6	0	9	0	0	0	0	9	0	0	0	4	0	0	0	1646	0	0	0	18
SFSP166	Rhizosphere	Tree	Day_of_Harvest	16	Recent_Cut	MPB	Wet	0	0	0	0	0	8	0	4	0	0	0	0	11	0	0	5	0	0	0	0	4027	0	0	0	0
