Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Amanita_pseudopantherina	Calonarius_caesiocinctus	Chroogomphus_pakistanicus	Cortinarius_albidipes	Cortinarius_alboadustus	Cortinarius_brunneoaffinis	Cortinarius_cepistipes	Cortinarius_clarisordidus	Cortinarius_collangustus	Cortinarius_deceptivissimus	Cortinarius_decipiens	Cortinarius_kauffmanianus	Cortinarius_majorinus	Cortinarius_miwok	Cortinarius_mucosus	Cortinarius_parvannulatus	Cortinarius_paululus	Cortinarius_subcarneinatus	Cortinarius_turgidipes	Hebeloma_erebium	Hebeloma_pungens	Hydnum_pallidomarginatum	Hydnum_subolympicum	Hygrophorus_fuscoalboides	Inocybe_purpureobadia	Inocybe_silvae-herbaceae	Laccaria_fagacicola	Lactarius_aurantiacopallens	Lactarius_miniatosporus	Mallocybe_sp	Phlegmacium_subfoetens	Piloderma_bicolor	Piloderma_lanatum	Piloderma_sp	Polyozellus_mariae	Pseudosperma_emberizanum	Rhizopogon_ellenae	Rhizopogon_sp	Russula_cremicolor	Russula_indocatillus	Russula_pseudotsugarum	Sarcodon_lidongensis	Suillus_luteus	Thaxterogaster_argyrionus	Thaxterogaster_rhipiduranus	Thelephora_atra	Thelephora_caryophyllea	Thelephora_sp	Tomentella_lammiensis	Tomentella_sp	Tomentellopsis_echinospora	Tomentellopsis_sp	Tricholoma_badicephalum	Tricholoma_bonii	Tricholoma_olivaceum	Tricholoma_populinum	Unknown	Wilcoxina_rehmii
RT60	Root Tip	Tree	Day_of_Harvest	23	Old_Forest	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	9	71	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	15	193
RT61	Root Tip	Tree	Day_of_Harvest	26	Old_Forest	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1231	0	0	0	0	4	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	9697
RT62	Root Tip	Tree	Day_of_Harvest	27	Old_Forest	Non_MPB	Wet	0	3	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	15816	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	10	0	159	1206
RT69	Root Tip	Tree	Day_of_Harvest	5	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	18	0	619
RT70	Root Tip	Tree	Day_of_Harvest	9	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72
RT71	Root Tip	Tree	Day_of_Harvest	17	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	37	0	72	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	92	23238
RT72	Root Tip	Tree	Day_of_Harvest	21	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	2	0	0	0	0	0	0	0	31072
RT73	Root Tip	Tree	Day_of_Harvest	23	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	42294
RT74	Root Tip	Tree	Day_of_Harvest	30	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	35840
RT75	Root Tip	Tree	Day_of_Harvest	3	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	57	3	0	0	546	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	153	314
RT76	Root Tip	Tree	Day_of_Harvest	7	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	11	0	0	0	0	0	0	18	8	0	0	0	113	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	49	0	0	0	207
RT77	Root Tip	Tree	Day_of_Harvest	11	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10702	0	0	0	0	0	0	0	224
RT78	Root Tip	Tree	Day_of_Harvest	15	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	5	4	0	0	7	0	0	0	0	0	0	0	0	0	9979	0	0	0	0	0	0	0	0	50	9
RT79	Root Tip	Tree	Day_of_Harvest	17	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	41371	0	0	0	0	0	0	0	0	0	16
RT8	Root Tip	Tree	Day_of_Harvest	1	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	21717	0	0	0	0	0	0	0	0	0	12
RT80	Root Tip	Tree	Day_of_Harvest	20	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	13	0	0	0	9	0	0	0	0	0	0	0	0	0	48974	0	10	0	0	0	0	0	0	0	862
RT81	Root Tip	Tree	Day_of_Harvest	25	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5221	0	2	0	0	0	0	0	0	0	14128	0	0	0	0	0	0	0	0	28	29
RT9	Root Tip	Tree	Day_of_Harvest	6	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	2	0	0	0	0	30300	0	0	0	0	0	0	0	0	0	444
